"Contaminant","G","AC_la","Shape","Size..µm.","Surface_area","Volume","Microplastic","Total_surface_area","size_assigned","TMC_rsd_0","TMC_rsd_0n","TMC_rsd_10","TMC_rsd_50","TMC_rsd_100","TMC_rsd_200"
"Aluminum",2.9,0.375,"Sphere",2000,12566370.6143592,4188790204.78639,"PE",3.48e+09,"1",8566355656.97818,8566355656.97818,8481564777.92897,6854866821.82559,4300035411.55673,1789117306.58871
"Antimony",0.004,27.8,"Sphere",1000,3141592.65358979,523598775.598299,"PE",6.96e+09,"1",318767.886020026,318767.886020026,315612.680895397,255080.630928762,160011.240817045,66575.935496975
"Arsenic",0.003,1.92,"Sphere",100,31415.9265358979,523598.775598299,"PE",6.96e+10,"1",34616200.1224872,34616200.1224872,34273564.5659845,27700162.2649202,17376220.682476,7229730.49537462
"BPA",6e-05,0.19,"Sphere",13.2,547.391103961485,1204.26042871527,"PE",527272727272.727,"1",53000880.5703154,53000880.5703154,52476271.1058136,42411731.6974855,26604739.8009202,11069443.8206693
"Bromine",0.01,13,"Sphere",1000,3141592.65358979,523598775.598299,"PE",6.96e+09,"1",1704182.15987629,1704182.1598763,1687313.94786385,1363700.29611915,855444.710521895,355925.193618443
"Cadmium",0.005,0.00014,"Sphere",3000,28274333.8823081,14137166941.1541,"PE",2.32e+09,"1",26374247712.3712,26374247712.3712,26113192050.2739,21104885535.1773,13239025281.8865,5508366091.714
"Chromium",0.03,0.000454,"Sphere",500,785398.163397448,65449846.9497873,"PE",1.392e+10,"1",292789005441.302,292789005441.302,289890942584.539,234292121359.678,146970677138.123,61150143397.0012
"Manganese",0.12,0.13,"Sphere",2000,12566370.6143592,4188790204.78639,"PE",3.48e+09,"1",1022509295.92578,1022509295.92578,1012388368.71831,818220177.671489,513266826.313137,213555116.171066
"Mercury",0.002,0.00125,"Sphere",4.5,63.6172512351933,47.712938426395,"PE",1546666666666.67,"1",787710865009.487,787710865009.487,779914002568.181,630332581317.295,395405555085.676,164516533939.191
"Propanolol",5e-04,0.133,"Sphere",45,6361.72512351933,47712.938426395,"PE",154666666666.667,"1",185082440.086816,185082440.086816,183250470.528238,148104459.895981,92905440.5746419,38655200.643607
"Sulfamethoxazole",0.02,0.087,"Sphere",45,6361.72512351933,47712.938426395,"PE",154666666666.667,"1",11317684842.0903,11317684842.0903,11205660956.4394,9056502605.13356,5681114297.20799,2363743303.72402
"Aluminum",2.9,0.375,"Long Cylinder",2000,131946891.450771,62831853071.7959,"PE",2.436e+09,"1",571090377.131878,571090377.131878,565437651.861931,456991121.455039,286669027.437115,119274487.105914
"Antimony",0.004,27.8,"Long Cylinder",1000,32986722.8626928,7853981633.97448,"PE",4.872e+09,"1",21251.1924013351,21251.1924013351,21040.8453930265,17005.3753952508,10667.4160544697,4438.39569979833
"Arsenic",0.003,1.92,"Long Cylinder",100,329867.228626928,7853981.63397448,"PE",4.872e+10,"1",2307746.67483248,2307746.67483248,2284904.30439897,1846677.48432801,1158414.71216507,481982.033024975
"BPA",6e-05,0.19,"Long Cylinder",13.2,5747.6065915956,18063.906430729,"PE",369090909090.909,"1",3533392.03802103,3533392.03802103,3498418.07372091,2827448.77983236,1773649.32006135,737962.921377952
"Bromine",0.01,13,"Long Cylinder",1000,32986722.8626928,7853981633.97448,"PE",4.872e+09,"1",113612.143991753,113612.143991753,112487.596524257,90913.3530746099,57029.6473681263,23728.3462412295
"Cadmium",0.005,0.00014,"Long Cylinder",3000,296880505.764235,212057504117.311,"PE",1.624e+09,"1",1758283180.82475,1758283180.82475,1740879470.01826,1406992369.01182,882601685.459098,367224406.114267
"Chromium",0.03,0.000454,"Long Cylinder",500,8246680.71567321,981747704.24681,"PE",9.744e+09,"1",19519267029.4201,19519267029.4201,19326062838.9692,15619474757.3118,9798045142.54153,4076676226.46675
"Manganese",0.12,0.13,"Long Cylinder",2000,131946891.450771,62831853071.7959,"PE",2.436e+09,"1",68167286.3950518,68167286.3950518,67492557.9145541,54548011.8447659,34217788.4208758,14237007.7447377
"Mercury",0.002,0.00125,"Long Cylinder",4.5,667.98113796953,715.694076395925,"PE",1082666666666.67,"1",52514057667.2992,52514057667.2992,51994266837.8787,42022172087.8197,26360370339.0451,10967768929.2794
"Propanolol",5e-04,0.133,"Long Cylinder",45,66798.113796953,715694.076395925,"PE",108266666666.667,"1",12338829.339121,12338829.339121,12216698.0352159,9873630.65973207,6193696.03830946,2577013.37624047
"Sulfamethoxazole",0.02,0.087,"Long Cylinder",45,66798.113796953,715694.076395925,"PE",108266666666.667,"1",754512322.806023,754512322.806023,747044063.762626,603766840.342237,378740953.147199,157582886.914934
"Aluminum",2.9,0.375,"Short Cylinder",2000,7539822.3686155,628318530.717959,"PE",1.392e+10,"1",57109037713.1878,57109037713.1878,56543765186.1931,45699112145.5039,28666902743.7115,11927448710.5914
"Antimony",0.004,27.8,"Short Cylinder",1000,1884955.59215388,78539816.3397448,"PE",2.784e+10,"1",2125119.24013351,2125119.24013351,2104084.53930265,1700537.53952508,1066741.60544697,443839.569979833
"Arsenic",0.003,1.92,"Short Cylinder",100,18849.5559215388,78539.8163397448,"PE",2.784e+11,"1",230774667.483248,230774667.483248,228490430.439897,184667748.432801,115841471.216507,48198203.3024975
"BPA",6e-05,0.19,"Short Cylinder",13.2,328.434662376891,180.63906430729,"PE",2109090909090.91,"1",353339203.802103,353339203.802103,349841807.372091,282744877.983237,177364932.006135,73796292.1377952
"Bromine",0.01,13,"Short Cylinder",1000,1884955.59215388,78539816.3397448,"PE",2.784e+10,"1",11361214.3991753,11361214.3991753,11248759.6524257,9091335.30746099,5702964.73681263,2372834.62412295
"Cadmium",0.005,0.00014,"Short Cylinder",3000,16964600.3293849,2120575041.17311,"PE",9.28e+09,"1",175828318082.475,175828318082.475,174087947001.826,140699236901.182,88260168545.9098,36722440611.4267
"Chromium",0.03,0.000454,"Short Cylinder",500,471238.898038469,9817477.0424681,"PE",5.568e+10,"1",1951926702942.01,1951926702942.01,1932606283896.92,1561947475731.18,979804514254.153,407667622646.675
"Manganese",0.12,0.13,"Short Cylinder",2000,7539822.3686155,628318530.717959,"PE",1.392e+10,"1",6816728639.50518,6816728639.50518,6749255791.45541,5454801184.4766,3421778842.08758,1423700774.47377
"Mercury",0.002,0.00125,"Short Cylinder",4.5,38.170350741116,7.15694076395925,"PE",6186666666666.67,"1",5251405766729.92,5251405766729.92,5199426683787.87,4202217208781.97,2636037033904.51,1096776892927.94
"Propanolol",5e-04,0.133,"Short Cylinder",45,3817.0350741116,7156.94076395925,"PE",618666666666.667,"1",1233882933.9121,1233882933.9121,1221669803.52159,987363065.973207,619369603.830946,257701337.624047
"Sulfamethoxazole",0.02,0.087,"Short Cylinder",45,3817.0350741116,7156.94076395925,"PE",618666666666.667,"1",75451232280.6022,75451232280.6022,74704406376.2625,60376684034.2237,37874095314.7199,15758288691.4934
"Aluminum",2.9,0.375,"Oblate Spheroid e=0.2",2000,12397455.0907937,4104159456.51796,"PE",3504017828.17712,"1",8743000131.16696,8743000131.16695,8656460802.62004,6996219153.41938,4388705264.25527,1826010204.63538
"Antimony",0.004,27.8,"Oblate Spheroid e=0.2",1000,3099363.77269842,513019932.064746,"PE",7008035656.35423,"1",325341.111306138,325341.111306138,322120.843560656,260340.578767776,163310.7887964,67948.7796316811
"Arsenic",0.003,1.92,"Oblate Spheroid e=0.2",100,30993.6377269842,513019.932064746,"PE",70080356563.5423,"1",35330011.305901,35330011.3059009,34980310.355415,28271359.7255632,17734530.9708591,7378812.78812787
"BPA",6e-05,0.19,"Oblate Spheroid e=0.2",13.2,540.033143754972,1179.92942711109,"PE",530911792148.048,"1",54093797.2147766,54093797.2147766,53558369.9221665,43286292.4027762,27153348.8549039,11297703.790435
"Bromine",0.01,13,"Oblate Spheroid e=0.2",1000,3099363.77269842,513019932.064746,"PE",7008035656.35423,"1",1739323.63352128,1739323.63352128,1722107.58672812,1391820.78648927,873084.601642295,363264.629569372
"Cadmium",0.005,0.00014,"Oblate Spheroid e=0.2",3000,27894273.9542857,13851538165.7481,"PE",2336011885.45141,"1",26918103852.115,26918103852.115,26651665032.6972,21540083600.4291,13512023596.845,5621952600.47838
"Chromium",0.03,0.000454,"Oblate Spheroid e=0.2",500,774840.943174604,64127491.5080932,"PE",14016071312.7085,"1",298826527345.065,298826527345.065,295868704327.739,239123395035.601,150001319224.888,62411103758.6146
"Manganese",0.12,0.13,"Oblate Spheroid e=0.2",2000,12397455.0907937,4104159456.51796,"PE",3504017828.17712,"1",1043594180.11277,1043594180.11277,1033264552.03687,835092471.893559,523850760.985377,217958777.741623
"Mercury",0.002,0.00125,"Oblate Spheroid e=0.2",4.5,62.7621163971429,46.7489413093999,"PE",1557341256967.61,"1",803954035049.835,803954035049.835,795996395643.222,643330496866.15,403559104759.105,167908984334.288
"Propanolol",5e-04,0.133,"Oblate Spheroid e=0.2",45,6276.21163971429,46748.9413093999,"PE",155734125696.761,"1",188898974.400807,188898974.400807,187029228.299629,151158481.40652,94821218.2234739,39452298.9507254
"Sulfamethoxazole",0.02,0.087,"Oblate Spheroid e=0.2",45,6276.21163971429,46748.9413093999,"PE",155734125696.761,"1",11551063721.9804,11551063721.9804,11436729822.4601,9243254265.31824,5798262999.41243,2412485407.10183
"Aluminum",2.9,0.375,"Oblate Spheroid e=0.9",2000,8236011.18997916,1825851319.83569,"PE",5232503258.38994,"1",19652567696.4189,19652567696.4189,19458044078.9928,15726143025.1408,9864957796.11689,4104516598.71571
"Antimony",0.004,27.8,"Oblate Spheroid e=0.9",1000,2059002.79749479,228231414.979461,"PE",10465006516.7799,"1",731303.68505652,731303.68505652,724065.148064729,585195.101406878,367090.962395816,152735.671001577
"Arsenic",0.003,1.92,"Oblate Spheroid e=0.9",100,20590.0279749479,228231.414979461,"PE",104650065167.799,"1",79415009.5491064,79415009.5491064,78628949.6726542,63548530.5434031,39863784.1976706,16586139.2728275
